"name_a","name_b","severity","rxcui_a","rxcui_b","sources"
"Phenol","Thimerosal","reported","33290","10472","ndf-rt"
"Phenol","Sodium Phosphate","reported","33290","36709","ndf-rt"
"Phenol","Sodium Polystyrene Sulfonate","reported","33290","56512","ndf-rt"
"Phenol","Tobramycin","reported","33290","10627","ndf-rt"
"Phenol","Sermorelin Acetate","reported","33290","58932","ndf-rt"
"Phenol","Naphazoline","reported","33290","7247","ndf-rt"
"Phenol","Methylbenzethonium Chloride","reported","33290","29829","ndf-rt"
"Phenol","Pegademase Bovine","reported","33290","59768","ndf-rt"
"Phenol","Xylometazoline","reported","33290","39841","ndf-rt"
"Phenol","Fluticasone","reported","33290","41126","ndf-rt"
"Colchicine","Erythromycin","severe","2683","4053","ndf-rt+openfda"
"Colchicine","Captopril","reported","2683","1998","ndf-rt"
"Colchicine","Cyclosporine","reported","2683","3008","ndf-rt"
"Colchicine","Ketoconazole","moderate","2683","6135","ndf-rt+openfda"
"Colchicine","Ciprofloxacin","moderate","2683","2551","ndf-rt+openfda"
"Colchicine","Lovastatin","moderate","2683","6472","ndf-rt+openfda"
"Colchicine","Fluconazole","moderate","2683","4450","ndf-rt+openfda"
"Colchicine","Amiodarone","reported","2683","703","ndf-rt"
"Colchicine","Diltiazem","reported","2683","3443","ndf-rt"
"Colchicine","Quinidine","reported","2683","9068","ndf-rt"
"Colchicine","Verapamil","moderate","2683","11170","ndf-rt+openfda"
"Colchicine","Azithromycin","moderate","2683","18631","ndf-rt+openfda"
"Colchicine","Clarithromycin","severe","2683","21212","ndf-rt+openfda"
"Colchicine","Felodipine","reported","2683","4316","ndf-rt"
"Colchicine","Simvastatin","moderate","2683","36567","ndf-rt+openfda"
"Colchicine","Pravastatin","moderate","2683","42463","ndf-rt+openfda"
"Colchicine","Itraconazole","severe","2683","28031","ndf-rt+openfda"
"Colchicine","Tacrolimus","reported","2683","42316","ndf-rt"
"Colchicine","Nefazodone","severe","2683","31565","ndf-rt+openfda"
"Colchicine","Saquinavir","severe","2683","83395","ndf-rt+openfda"
"Colchicine","Ritonavir","severe","2683","85762","ndf-rt+openfda"
"Colchicine","Carvedilol","moderate","2683","20352","ndf-rt+openfda"
"Colchicine","Amprenavir","severe","2683","228656","ndf-rt+openfda"
"Colchicine","Imatinib","reported","2683","282388","ndf-rt"
"Colchicine","Voriconazole","moderate","2683","121243","ndf-rt+openfda"
"Colchicine","Aprepitant","severe","2683","358255","ndf-rt+openfda"
"Colchicine","Rosuvastatin","moderate","2683","301542","ndf-rt+openfda"
"Colchicine","Fosamprenavir","severe","2683","358262","ndf-rt+openfda"
"Colchicine","Telithromycin","severe","2683","274786","ndf-rt+openfda"
"Colchicine","Fluvastatin","moderate","2683","41127","ndf-rt+openfda"
"Colchicine","Indinavir","moderate","2683","114289","ndf-rt+openfda"
"Colchicine","Atorvastatin","moderate","2683","83367","ndf-rt+openfda"
"Colchicine","Nelfinavir","moderate","2683","134527","ndf-rt+openfda"
"Colchicine","Mibefradil","reported","2683","83213","ndf-rt"
"Colchicine","Grapefruit Extract","reported","2683","124323","ndf-rt"
"Colchicine","Atazanavir","severe","2683","343047","ndf-rt+openfda"
"Colchicine","Diet Aid","reported","2683","216598","ndf-rt"
"Colchicine","Tipranavir","severe","2683","190548","ndf-rt+openfda"
"Colchicine","Ranolazine","severe","2683","35829","ndf-rt+openfda"
"Colchicine","Conivaptan","reported","2683","302285","ndf-rt"
"Colchicine","Darunavir","severe","2683","460132","ndf-rt+openfda"
"Colchicine","Posaconazole","moderate","2683","282446","ndf-rt+openfda"
"Colchicine","Nilotinib","reported","2683","662281","ndf-rt"
"Colchicine","Dronedarone","reported","2683","233698","ndf-rt"
"Colchicine","Quercetin","reported","2683","9060","ndf-rt"
"Colchicine","Boceprevir","reported","2683","1102129","ndf-rt"
"Colchicine","Telaprevir","reported","2683","1102261","ndf-rt"
"Colchicine","Crizotinib","reported","2683","1148495","ndf-rt"
"Thyroid (Usp)","Calcium Gluceptate","reported","10572","47618","ndf-rt"
"Thyroid (Usp)","Caffeine","reported","10572","1886","ndf-rt"
"Thyroid (Usp)","Iron (As Ferrous Fumarate)","reported","10572","24941","ndf-rt"
"Thyroid (Usp)","Calcium Carbonate","reported","10572","1897","ndf-rt"
"Thyroid (Usp)","Vitamin E","reported","10572","11256","ndf-rt"
"Thyroid (Usp)","Iron (As Ferrous Sulfate)","reported","10572","24947","ndf-rt"
"Thyroid (Usp)","Iron (As Ferrous Gluconate)","reported","10572","24942","ndf-rt"
"Thyroid (Usp)","Calcium Lactate","reported","10572","47622","ndf-rt"
"Thyroid (Usp)","Calcium Glycerophosphate","reported","10572","1909","ndf-rt"
