name_a,name_b,severity,sources
Colchicine,Erythromycin,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Cyclosporine,reported,ndf-rt+openfda(a_in_b_label)
Colchicine,Ketoconazole,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Ciprofloxacin,moderate,ndf-rt+openfda(b_in_a_label)
Colchicine,Lovastatin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Fluconazole,moderate,ndf-rt+openfda(b_in_a_label)
Colchicine,Diltiazem,reported,ndf-rt+openfda(b_in_a_label)
Colchicine,Verapamil,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Azithromycin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Clarithromycin,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Simvastatin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Pravastatin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Itraconazole,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Nefazodone,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Saquinavir,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Ritonavir,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Carvedilol,moderate,ndf-rt+openfda(b_in_a_label)
Colchicine,Amprenavir,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Voriconazole,moderate,ndf-rt+openfda(b_in_a_label)
Colchicine,Aprepitant,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Rosuvastatin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Fosamprenavir,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Telithromycin,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Fluvastatin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Indinavir,moderate,ndf-rt+openfda(b_in_a_label)
Colchicine,Atorvastatin,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Nelfinavir,moderate,ndf-rt+openfda(a_in_b_label)
Colchicine,Atazanavir,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Tipranavir,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Ranolazine,severe,ndf-rt+openfda(b_in_a_label)
Colchicine,Darunavir,severe,ndf-rt+openfda(a_in_b_label)
Colchicine,Posaconazole,moderate,ndf-rt+openfda(b_in_a_label)
Phenobarbital,Metronidazole,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Ethinyl Estradiol,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Levonorgestrel,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Aminophylline,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Haloperidol,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Theophylline,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Nifedipine,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Estrogens,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Estrone,moderate,ndf-rt+openfda(b_in_a_label)
Phenobarbital,Norethindrone,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Phenprocoumon,moderate,ndf-rt+openfda(b_in_a_label)
Phenobarbital,Dicumarol,reported,ndf-rt+openfda(b_in_a_label)
Phenobarbital,Cyclosporine,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Nimodipine,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Doxorubicin,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Guanfacine,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Tamoxifen,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Warfarin,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Felodipine,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Risperidone,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Tacrolimus,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Ritonavir,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Efavirenz,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Sirolimus,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Exemestane,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Imatinib,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Voriconazole,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Fosamprenavir,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Tinidazole,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Erlotinib,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Irinotecan,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Nelfinavir,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Toremifene,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Atazanavir,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Deferasirox,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Ranolazine,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Darunavir,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Raltegravir,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Etravirine,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Everolimus,moderate,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Dronedarone,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Roflumilast,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Rilpivirine,severe,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Ticagrelor,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Axitinib,reported,ndf-rt+openfda(a_in_b_label)
Phenobarbital,Ivacaftor,severe,ndf-rt+openfda(a_in_b_label)
Digitoxin,Rifampin,moderate,ndf-rt+openfda(a_in_b_label)
Digitoxin,Colestipol,moderate,ndf-rt+openfda(a_in_b_label)
Digitoxin,Quinidine,reported,ndf-rt+openfda(a_in_b_label)
