name_a,name_b,severity,sources
Spironolactone,Abiraterone,moderate,openfda(new)
Carbamazepine,Acetaminophen,moderate,openfda(new)
Acetaminophen,Chlordiazepoxide,moderate,openfda(new)
Dapsone,Acetaminophen,moderate,openfda(new)
Ethinyl Estradiol,Acetaminophen,moderate,openfda(new)
Acetazolamide,Amphetamine,moderate,openfda(new)
Acetazolamide,Potassium,severe,openfda(new)
Acetazolamide,Primidone,moderate,openfda(new)
Acetazolamide,Quinidine,moderate,openfda(new)
Quinine,Acetazolamide,moderate,openfda(new)
Acitretin,Cimetidine,severe,openfda(new)
Acitretin,Digoxin,severe,openfda(new)
Acitretin,Phenprocoumon,severe,openfda(new)
Meperidine,Acyclovir,moderate,openfda(new)
Mycophenolic Acid,Acyclovir,moderate,openfda(new)
Acyclovir,Valacyclovir,severe,openfda(new)
Nelarabine,Adenosine,severe,openfda(new)
Atomoxetine,Albuterol,moderate,openfda(new)
Albuterol,Epinephrine,severe,openfda(new)
Capecitabine,Allopurinol,severe,openfda(new)
Allopurinol,Chlorpropamide,severe,openfda(new)
Allopurinol,Cyclosporine,moderate,openfda(new)
Allopurinol,Fluorouracil,moderate,openfda(new)
Almotriptan,Methysergide,severe,openfda(new)
Alosetron,Cimetidine,severe,openfda(new)
Alosetron,Clarithromycin,moderate,openfda(new)
Alosetron,Itraconazole,moderate,openfda(new)
Alosetron,Telithromycin,moderate,openfda(new)
Alosetron,Voriconazole,moderate,openfda(new)
Alprazolam,Amiodarone,moderate,openfda(new)
Carbamazepine,Alprazolam,moderate,openfda(new)
Alprazolam,Cyclosporine,moderate,openfda(new)
Alprazolam,Desipramine,moderate,openfda(new)
Alprazolam,Diltiazem,moderate,openfda(new)
Alprazolam,Ergotamine,moderate,openfda(new)
Alprazolam,Imipramine,moderate,openfda(new)
Alprazolam,Isoniazid,moderate,openfda(new)
Alprazolam,Nicardipine,moderate,openfda(new)
Alprazolam,Nifedipine,moderate,openfda(new)
Naproxen,Aluminum Hydroxide,moderate,openfda(new)
Phenytoin,Aluminum Hydroxide,moderate,openfda(new)
Tacrolimus,Aluminum Hydroxide,moderate,openfda(new)
Dicyclomine,Amantadine,moderate,openfda(new)
Arformoterol,Aminophylline,moderate,openfda(new)
Lorazepam,Aminophylline,moderate,openfda(new)
Aminophylline,Theophylline,severe,openfda(new)
Carvedilol,Amiodarone,moderate,openfda(new)
Amiodarone,Cholestyramine,moderate,openfda(new)
Amiodarone,Cimetidine,moderate,openfda(new)
Amiodarone,Iodine,severe,openfda(new)
Darunavir,Amitriptyline,moderate,openfda(new)
Risperidone,Amitriptyline,severe,openfda(new)
Amlodipine,Sildenafil,moderate,openfda(new)
