"name","rxcui","source"
"Abarelix","301739","ndf-rt"
"Abatacept","614391","ndf-rt"
"Abciximab","83929","ndf-rt"
"Abiraterone","1100072","ndf-rt"
"Abobotulinumtoxina","860168","ndf-rt"
"Acarbose","16681","ndf-rt"
"Acebutolol","149","ndf-rt"
"Acetaminophen","161","ndf-rt"
"Acetazolamide","167","ndf-rt"
"Acetohexamide","173","ndf-rt"
"Acetophenazine Maleate","91127","ndf-rt"
"Acitretin","16818","ndf-rt"
"Acyclovir","281","ndf-rt"
"Adalimumab","327361","ndf-rt"
"Adefovir","16521","ndf-rt"
"Adenosine","296","ndf-rt"
"Adenosine Phosphate","309","ndf-rt"
"Aflibercept","1232150","ndf-rt"
"Agalsidase Beta","338817","ndf-rt"
"Alatrofloxacin","141440","ndf-rt"
"Albuterol","435","ndf-rt"
"Alcohol,Ethyl","448","ndf-rt"
"Aldesleukin","70223","ndf-rt"
"Alefacept","299635","ndf-rt"
"Alemtuzumab","117055","ndf-rt"
"Alfentanil","480","ndf-rt"
"Alfuzosin","17300","ndf-rt"
"Aliskiren","325646","ndf-rt"
"Allopurinol","519","ndf-rt"
"Almotriptan","279645","ndf-rt"
"Aloe/Hydrocortisone","217625","ndf-rt"
"Alosetron","85248","ndf-rt"
"Alphaprodine","594","ndf-rt"
"Alprazolam","596","ndf-rt"
"Alteplase,Recombinant","8410","ndf-rt"
"Altretamine","5296","ndf-rt"
"Aluminum Acetate","17609","ndf-rt"
"Aluminum Carbonate","89858","ndf-rt"
"Aluminum Chloride","46241","ndf-rt"
"Aluminum Hydroxide","612","ndf-rt"
"Aluminum Hydroxychloride","17610","ndf-rt"
"Aluminum Phosphate","17618","ndf-rt"
"Aluminum Sulfate","17621","ndf-rt"
"Amantadine","620","ndf-rt"
"Ambenonium","623","ndf-rt"
"Ambrisentan","358274","ndf-rt"
"Amikacin","641","ndf-rt"
"Amiloride","644","ndf-rt"
"Aminoglutethimide","677","ndf-rt"
"Aminophylline","689","ndf-rt"
"Amiodarone","703","ndf-rt"
"Amitriptyline","704","ndf-rt"
"Amlodipine","17767","ndf-rt"
"Ammonium Chloride","712","ndf-rt"
"Amobarbital","719","ndf-rt"
"Amoxapine","722","ndf-rt"
"Amoxicillin","723","ndf-rt"
"Amphetamine","725","ndf-rt"
"Amphotericin B","732","ndf-rt"
"Ampicillin","733","ndf-rt"
"Ampicillin/Sulbactam","37415","ndf-rt"
"Amprenavir","228656","ndf-rt"
"Amyl Nitrite","742","ndf-rt"
"Anagrelide","596724","ndf-rt"
"Anakinra","72435","ndf-rt"
